title,authors,year,venue,doi,arxiv_id,landing_url,search_role,in_final_review,screening_decision,exclusion_reason,verification_level,full_text_status,license,redistribution_status
DRIFTLENS: Measuring Memory-Induced Reasoning Drift in Personalized Language Models,Xi Fang; Weijie Xu; Yingqiang Ge; Yuhui Xu; Stephanie Eckman; Chandan K. Reddy,2026,arXiv,,2607.02374,https://arxiv.org/abs/2607.02374,closest; reasoning_drift,True,include,,metadata_verified,open_pdf,CC-BY-4.0,allowed
GRAVITY: A Framework for Personalized Text Generation via Profile-Grounded Synthetic Preferences,Priyanka Dey; Daniele Rosa; Wenqing Zheng; Daniel Barcklow; Jieyu Zhao; Emilio Ferrara,2026,Proceedings of the 19th Conference of the European Chapter of the Association for Computational Linguistics (Volume 1: Long Papers),10.18653/v1/2026.eacl-long.348,,https://aclanthology.org/2026.eacl-long.348/,closest; human_evaluation,True,include,,metadata_verified,open_pdf,CC-BY-4.0,allowed
How Does Personalized Memory Shape LLM Behavior? Benchmarking Rational Preference Utilization in Personalized Assistants,Xueyang Feng; Weinan Gan; Xu Chen; Quanyu Dai; Yong Liu,2026,arXiv,,2601.16621,https://arxiv.org/abs/2601.16621,closest; intervention; filter_bubble,True,include,,metadata_verified,open_pdf,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,not_confirmed
Identity-Robust Language Model Generation via Content Integrity Preservation,Miao Zhang; Kelly Chen; Mehrab Tanjim; Rumi Chunara,2026,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),10.18653/v1/2026.acl-long.884,,https://aclanthology.org/2026.acl-long.884/,intervention; identity_robustness,True,include,,metadata_verified,open_pdf,CC-BY-4.0,allowed
Inducing Sustained Creativity and Diversity in Large Language Models,Queenie Luo; Gary King; Michael Puett; Michael D. Smith,2026,arXiv,,2603.19519,https://arxiv.org/abs/2603.19519,intervention; semantic_diversity,False,background_only,,metadata_verified,open_pdf,CC-BY-NC-ND-4.0,allowed
Language Models Don’t Know What You Want: Evaluating Personalization in Deep Research Needs Real Users,Nishant Balepur; Malachi Hamada; Varsha Kishore; Sergey Feldman; Amanpreet Singh; Pao Siangliulue; Joseph Chee Chang; Eunsol Choi; Jordan Lee Boyd-Graber; Aakanksha Naik,2026,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),10.18653/v1/2026.acl-long.723,,https://aclanthology.org/2026.acl-long.723/,closest; human_evaluation,True,include,,metadata_verified,open_pdf,CC-BY-4.0,allowed
MemSyco-Bench: Benchmarking Sycophancy in Agent Memory,Zhishang Xiang; Zerui Chen; Yunbo Tang; Zhimin Wei; Ruqin Ning; Yujie Lin; Qinggang Zhang; Jinsong Su,2026,arXiv,,2607.01071,https://arxiv.org/abs/2607.01071,intervention; memory_sycophancy,False,background_only,,metadata_verified,open_pdf,CC-BY-4.0,allowed
Memory Makes the Difference: Evaluating How Different Memory Roles Shape Conversational Agents,Yuxin Wang; Paul Thomas; Zhiwei Yu; Yuan Gao; Saeed Hassanpour; Soroush Vosoughi; Robert Sim; Nick Craswell,2026,arXiv,,2606.25361,https://arxiv.org/abs/2606.25361,background; memory_roles,False,background_only,,metadata_verified,open_pdf,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,not_confirmed
OP-Bench: Benchmarking Over-Personalization for Memory-Augmented Personalized Conversational Agents,Yulin Hu; Zimo Long; Jiahe Guo; Xingyu Sui; Xing Fu; Weixiang Zhao; Yanyan Zhao; Bing Qin,2026,arXiv,,2601.13722,https://arxiv.org/abs/2601.13722,closest; intervention; over_personalization,True,include,,metadata_verified,open_pdf,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,not_confirmed
"One Persona, Many Cues, Different Results: How Sociodemographic Cues Impact LLM Personalization",Franziska Weeber; Vera Neplenbroek; Jan Batzner; Sebastian Padó,2026,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),10.18653/v1/2026.acl-long.2079,,https://aclanthology.org/2026.acl-long.2079/,closest; persona_cues,True,include,,metadata_verified,open_pdf,CC-BY-4.0,allowed
